resource_type,key,category,group,entry_id,module_id,source_name,filename,relative_path,url,bytes,content_length,status
cinema,cinema|1109|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/01/23/76099754/7cb647c6825fd1993655b1e761512ddc_9076315672894002177.png,官方意象影画,耀嘉音,1109,279,影画展示3,影画展示3.png,官方意象影画\耀嘉音\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/01/23/76099754/7cb647c6825fd1993655b1e761512ddc_9076315672894002177.png,,,
cinema,cinema|997|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/d5ac9093a38bb924e65606f20bde76d6_6466244039685743504.png,官方意象影画,悠真,997,279,影画展示1,影画展示1.png,官方意象影画\悠真\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/d5ac9093a38bb924e65606f20bde76d6_6466244039685743504.png,,,
cinema,cinema|997|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/8f7e7ebd4f7eca8322b372662aae06fd_1114124982390728430.png,官方意象影画,悠真,997,279,影画展示2,影画展示2.png,官方意象影画\悠真\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/8f7e7ebd4f7eca8322b372662aae06fd_1114124982390728430.png,,,
cinema,cinema|997|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/34bc4d6a25bf4f50ebcc39dcee21ed0c_1706464985840756535.png,官方意象影画,悠真,997,279,影画展示3,影画展示3.png,官方意象影画\悠真\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/34bc4d6a25bf4f50ebcc39dcee21ed0c_1706464985840756535.png,,,
cinema,cinema|996|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2025/12/05/439466880/10966e674252c507919902a9b34fc477_5298768288708378957.png,官方意象影画,雅,996,279,影画展示1,影画展示1.png,官方意象影画\雅\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/12/05/439466880/10966e674252c507919902a9b34fc477_5298768288708378957.png,,,
cinema,cinema|996|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2025/12/05/439466880/8445c1e73e5bff5351b9112ffe314cdb_6323797207521532388.png,官方意象影画,雅,996,279,影画展示2,影画展示2.png,官方意象影画\雅\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/12/05/439466880/8445c1e73e5bff5351b9112ffe314cdb_6323797207521532388.png,,,
cinema,cinema|996|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2025/12/05/439466880/22e00f0bb1d2958f05a10833a4e89248_5864051387796232751.png,官方意象影画,雅,996,279,影画展示3,影画展示3.png,官方意象影画\雅\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2025/12/05/439466880/22e00f0bb1d2958f05a10833a4e89248_5864051387796232751.png,,,
cinema,cinema|950|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2024/11/27/76099754/f9ca296befa4fc4c82f5df3d665d290e_9204927115289792368.png,官方意象影画,莱特,950,279,影画展示1,影画展示1.png,官方意象影画\莱特\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/11/27/76099754/f9ca296befa4fc4c82f5df3d665d290e_9204927115289792368.png,,,
cinema,cinema|950|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/64db50c260779ceee98533b2c7440fd1_3307920791471270344.png,官方意象影画,莱特,950,279,影画展示2,影画展示2.png,官方意象影画\莱特\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/64db50c260779ceee98533b2c7440fd1_3307920791471270344.png,,,
cinema,cinema|950|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2024/11/27/76099754/df8b1b5098ae0bcd5b8f2cf128eb311d_4680771690149022055.png,官方意象影画,莱特,950,279,影画展示3,影画展示3.png,官方意象影画\莱特\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/11/27/76099754/df8b1b5098ae0bcd5b8f2cf128eb311d_4680771690149022055.png,,,
cinema,cinema|916|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2024/11/06/76099754/138005c0fe6121cd12b1afaebc8e72eb_935993888331848532.png,官方意象影画,柳,916,279,影画展示1,影画展示1.png,官方意象影画\柳\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/11/06/76099754/138005c0fe6121cd12b1afaebc8e72eb_935993888331848532.png,,,
cinema,cinema|916|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2024/11/06/76099754/e51bcc759474d43ae98cf242ece9be48_4445129622536388897.png,官方意象影画,柳,916,279,影画展示2,影画展示2.png,官方意象影画\柳\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/11/06/76099754/e51bcc759474d43ae98cf242ece9be48_4445129622536388897.png,,,
cinema,cinema|916|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2024/11/06/76099754/93171af7d069601a30c8129ebbfaff34_7755247229681328322.png,官方意象影画,柳,916,279,影画展示3,影画展示3.png,官方意象影画\柳\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/11/06/76099754/93171af7d069601a30c8129ebbfaff34_7755247229681328322.png,,,
cinema,cinema|840|279|影画展示1|https://act-upload.mihoyo.com/nap-obc-indep/2024/10/16/76099754/ffe48eaeb30766ee6225d0d51d6e6332_2028755457651791984.png,官方意象影画,柏妮思,840,279,影画展示1,影画展示1.png,官方意象影画\柏妮思\影画展示1.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/10/16/76099754/ffe48eaeb30766ee6225d0d51d6e6332_2028755457651791984.png,,,
cinema,cinema|840|279|影画展示2|https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/9b40963f79d3ebade5e3cc78a5488b20_5777690442997912038.png,官方意象影画,柏妮思,840,279,影画展示2,影画展示2.png,官方意象影画\柏妮思\影画展示2.png,https://act-upload.mihoyo.com/nap-obc-indep/2026/04/27/76099754/9b40963f79d3ebade5e3cc78a5488b20_5777690442997912038.png,,,
cinema,cinema|840|279|影画展示3|https://act-upload.mihoyo.com/nap-obc-indep/2024/10/16/76099754/56071426862b50025a7f44ea23ce23c2_6173449843340604773.png,官方意象影画,柏妮思,840,279,影画展示3,影画展示3.png,官方意象影画\柏妮思\影画展示3.png,https://act-upload.mihoyo.com/nap-obc-indep/2024/10/16/76099754/56071426862b50025a7f44ea23ce23c2_6173449843340604773.png,,,
